grouping,total_hh_income_2018,total_cocoa_income_2018,benchmark,food_value,below_benchmark,fgt_gap,total_hh_income_2018_including_food_value,below_benchmark_with_food,fgt_gap_with_food
"Male-headed, large",7793.651,2338.095,5123,450,0,0,8243.651,0,0
"Male-headed, large",3232.521,2262.765,5123,450,1,0.369017958,3682.521,1,0.281178801
"Male-headed, large",5567.499,5010.749,5123,450,0,0,6017.499,0,0
"Male-headed, large",5195.986,3117.592,5123,450,0,0,5645.986,0,0
"Male-headed, large",7898.22,3949.11,5123,450,0,0,8348.22,0,0
"Male-headed, large",1348.433,1348.433,5123,450,1,0.736788405,1798.433,1,0.648949248
"Male-headed, large",5288.718,4442.523,5123,450,0,0,5738.718,0,0
"Male-headed, large",5884.24,4118.968,5123,450,0,0,6334.24,0,0
"Male-headed, large",1264.91,252.982,5123,450,1,0.753091938,1714.91,1,0.665252782
"Male-headed, large",3225.519,3225.519,5123,450,1,0.370384736,3675.519,1,0.282545579
"Male-headed, large",5601.665,5041.498,5123,450,0,0,6051.665,0,0
"Male-headed, large",4412.456,3529.965,5123,450,1,0.138696857,4862.456,1,0.050857701
"Male-headed, large",5354.781,4016.086,5123,450,0,0,5804.781,0,0
"Male-headed, large",7904.416,5533.091,5123,450,0,0,8354.416,0,0
"Male-headed, large",968.7448,484.3724,5123,450,1,0.81090283,1418.7448,1,0.723063674
"Male-headed, large",4672.281,3504.211,5123,450,1,0.087979504,5122.281,1,0.000140347
"Male-headed, large",4001.557,2400.934,5123,450,1,0.218903572,4451.557,1,0.131064415
"Male-headed, large",4845.66,2907.396,5123,450,1,0.054136248,5295.66,0,0
"Male-headed, large",4726.826,2836.095,5123,450,1,0.077332422,5176.826,0,0
"Male-headed, large",5303.851,2386.733,5123,450,0,0,5753.851,0,0
"Male-headed, large",12618.29,4037.854,5123,450,0,0,13068.29,0,0
"Male-headed, large",1939.087,1260.407,5123,450,1,0.621493851,2389.087,1,0.533654695
"Male-headed, large",4766.225,2859.735,5123,450,1,0.069641811,5216.225,0,0
"Male-headed, large",3733.645,2613.551,5123,450,1,0.271199492,4183.645,1,0.183360336
"Male-headed, large",1405.521,1405.521,5123,450,1,0.725644935,1855.521,1,0.637805778
"Male-headed, large",4909.019,4172.666,5123,450,1,0.04176869,5359.019,0,0
"Male-headed, large",8681.825,6077.277,5123,450,0,0,9131.825,0,0
"Male-headed, large",10974.34,4938.454,5123,450,0,0,11424.34,0,0
"Male-headed, large",3016.131,2412.905,5123,450,1,0.411256881,3466.131,1,0.323417724
"Male-headed, large",3672.185,3488.576,5123,450,1,0.283196369,4122.185,1,0.195357213
"Male-headed, large",5540.045,1939.016,5123,450,0,0,5990.045,0,0
"Male-headed, large",967.8758,483.9379,5123,450,1,0.811072458,1417.8758,1,0.723233301
"Male-headed, large",8915.526,7132.421,5123,450,0,0,9365.526,0,0
"Male-headed, large",9442.299,5665.38,5123,450,0,0,9892.299,0,0
"Male-headed, large",2617.207,1570.324,5123,450,1,0.489126098,3067.207,1,0.401286941
"Male-headed, large",2493.626,1496.175,5123,450,1,0.513248878,2943.626,1,0.425409721
"Male-headed, large",7587.688,6070.151,5123,450,0,0,8037.688,0,0
"Male-headed, large",7799.244,5459.471,5123,450,0,0,8249.244,0,0
"Male-headed, large",3713.48,3713.48,5123,450,1,0.275135663,4163.48,1,0.187296506
"Male-headed, large",8376.784,6701.427,5123,450,0,0,8826.784,0,0
"Male-headed, large",4682.35,2107.057,5123,450,1,0.086014054,5132.35,0,0
"Male-headed, large",2402.807,1201.404,5123,450,1,0.530976576,2852.807,1,0.443137419
"Male-headed, large",5631.819,3942.273,5123,450,0,0,6081.819,0,0
"Male-headed, large",3111.457,2644.739,5123,450,1,0.392649424,3561.457,1,0.304810267
"Male-headed, large",8692.006,6953.605,5123,450,0,0,9142.006,0,0
"Male-headed, large",1412.695,1200.791,5123,450,1,0.724244583,1862.695,1,0.636405427
"Male-headed, large",3795.724,2277.435,5123,450,1,0.259081788,4245.724,1,0.171242631
"Male-headed, large",3992.09,2994.068,5123,450,1,0.220751513,4442.09,1,0.132912356
"Male-headed, large",6391.294,3834.776,5123,450,0,0,6841.294,0,0
"Male-headed, large",8932.405,6252.684,5123,450,0,0,9382.405,0,0
"Male-headed, large",1533.195,1226.556,5123,450,1,0.700723209,1983.195,1,0.612884052
"Male-headed, large",10099.46,6059.676,5123,450,0,0,10549.46,0,0
"Male-headed, large",1750.335,1750.335,5123,450,1,0.658337888,2200.335,1,0.570498731
"Male-headed, large",4288.252,3859.427,5123,450,1,0.162941245,4738.252,1,0.075102089
"Male-headed, large",6942.941,4026.906,5123,450,0,0,7392.941,0,0
"Male-headed, large",3541.25,2833,5123,450,1,0.308754636,3991.25,1,0.220915479
"Male-headed, large",11301.96,5085.883,5123,450,0,0,11751.96,0,0
"Male-headed, large",3437.101,2749.681,5123,450,1,0.329084326,3887.101,1,0.241245169
"Male-headed, large",1297.353,1167.618,5123,450,1,0.746759126,1747.353,1,0.658919969
"Male-headed, large",6154.659,2461.864,5123,450,0,0,6604.659,0,0
"Male-headed, large",5129.12,3590.384,5123,450,0,0,5579.12,0,0
"Male-headed, large",4456.135,3564.908,5123,450,1,0.130170798,4906.135,1,0.042331642
"Male-headed, large",6184.976,3710.986,5123,450,0,0,6634.976,0,0
"Male-headed, large",289.643,289.643,5123,450,1,0.943462229,739.643,1,0.855623072
"Male-headed, large",6201.953,5581.757,5123,450,0,0,6651.953,0,0
"Male-headed, large",7091.543,2836.617,5123,450,0,0,7541.543,0,0
"Male-headed, large",11980.18,5990.091,5123,450,0,0,12430.18,0,0
"Male-headed, large",4157.551,2286.653,5123,450,1,0.188453836,4607.551,1,0.100614679
"Male-headed, large",9190.234,5514.141,5123,450,0,0,9640.234,0,0
"Male-headed, large",1456.858,874.1146,5123,450,1,0.715624048,1906.858,1,0.627784892
"Male-headed, large",9759.053,6343.384,5123,450,0,0,10209.053,0,0
"Male-headed, large",10416.06,7291.241,5123,450,0,0,10866.06,0,0
"Male-headed, large",10792.92,5396.458,5123,450,0,0,11242.92,0,0
"Male-headed, large",7602.956,3801.478,5123,450,0,0,8052.956,0,0
"Male-headed, large",4246.748,3397.398,5123,450,1,0.171042748,4696.748,1,0.083203592
"Male-headed, large",6059.327,3332.63,5123,450,0,0,6509.327,0,0
"Male-headed, large",5163.913,3614.739,5123,450,0,0,5613.913,0,0
"Male-headed, large",2863.278,1431.639,5123,450,1,0.4410935,3313.278,1,0.353254343
"Male-headed, large",1159.35,1159.35,5123,450,1,0.773697053,1609.35,1,0.685857896
"Male-headed, large",10530.41,3685.643,5123,450,0,0,10980.41,0,0
"Male-headed, large",1606.19,1445.571,5123,450,1,0.686474722,2056.19,1,0.598635565
"Male-headed, large",8427.89,5899.523,5123,450,0,0,8877.89,0,0
"Male-headed, large",2075.598,1556.698,5123,450,1,0.59484716,2525.598,1,0.507008003
"Male-headed, large",11169.83,6701.897,5123,450,0,0,11619.83,0,0
"Male-headed, large",1838.51,1470.808,5123,450,1,0.641126293,2288.51,1,0.553287136
"Male-headed, large",4875.128,3412.589,5123,450,1,0.04838415,5325.128,0,0
"Male-headed, large",8264.714,5372.063,5123,450,0,0,8714.714,0,0
"Male-headed, large",4876.282,3901.026,5123,450,1,0.048158891,5326.282,0,0
"Male-headed, large",1195.987,1076.388,5123,450,1,0.766545579,1645.987,1,0.678706422
"Male-headed, large",998.3471,998.3471,5123,450,1,0.805124517,1448.3471,1,0.71728536
"Male-headed, large",3731.133,3171.463,5123,450,1,0.27168983,4181.133,1,0.183850673
"Male-headed, large",4254.815,1914.667,5123,450,1,0.169468085,4704.815,1,0.081628928
"Male-headed, large",2559.518,2559.518,5123,450,1,0.500386883,3009.518,1,0.412547726
"Male-headed, large",3022.933,1813.76,5123,450,1,0.409929143,3472.933,1,0.322089986
"Male-headed, large",7934.935,4760.961,5123,450,0,0,8384.935,0,0
"Male-headed, large",2484.907,1987.926,5123,450,1,0.51495081,2934.907,1,0.427111653
"Male-headed, large",5262.456,3946.842,5123,450,0,0,5712.456,0,0
"Male-headed, large",11054.13,5527.067,5123,450,0,0,11504.13,0,0
"Male-headed, large",6114.066,4157.565,5123,450,0,0,6564.066,0,0
"Male-headed, large",6885.396,4131.238,5123,450,0,0,7335.396,0,0
"Male-headed, large",5862.488,4689.991,5123,450,0,0,6312.488,0,0
"Male-headed, large",4926.033,1231.508,5123,450,1,0.038447589,5376.033,0,0
"Male-headed, large",10245.96,5635.277,5123,450,0,0,10695.96,0,0
"Male-headed, large",5137.462,4623.716,5123,450,0,0,5587.462,0,0
"Male-headed, large",6710.005,4026.003,5123,450,0,0,7160.005,0,0
"Male-headed, large",5221.983,4177.586,5123,450,0,0,5671.983,0,0
"Male-headed, large",5420.262,3252.157,5123,450,0,0,5870.262,0,0
"Male-headed, large",6052.129,3631.278,5123,450,0,0,6502.129,0,0
"Male-headed, large",1219.382,853.5675,5123,450,1,0.761978919,1669.382,1,0.674139762
"Male-headed, large",8338.167,4169.083,5123,450,0,0,8788.167,0,0
"Male-headed, large",2918.113,2626.302,5123,450,1,0.430389811,3368.113,1,0.342550654
"Male-headed, large",7646.987,4970.542,5123,450,0,0,8096.987,0,0
"Male-headed, large",6516.826,3258.413,5123,450,0,0,6966.826,0,0
"Male-headed, large",9147.289,5488.374,5123,450,0,0,9597.289,0,0
"Male-headed, large",6429.97,4822.478,5123,450,0,0,6879.97,0,0
"Male-headed, large",7029.202,4217.521,5123,450,0,0,7479.202,0,0
"Male-headed, large",1157.076,809.9529,5123,450,1,0.774140933,1607.076,1,0.686301776
"Male-headed, large",2446.121,978.4482,5123,450,1,0.522521765,2896.121,1,0.434682608
"Male-headed, large",12188.17,4875.266,5123,450,0,0,12638.17,0,0
"Male-headed, large",6206.591,3103.296,5123,450,0,0,6656.591,0,0
"Male-headed, large",2537.656,1903.242,5123,450,1,0.504654304,2987.656,1,0.416815147
"Male-headed, large",3956.502,1384.776,5123,450,1,0.227698224,4406.502,1,0.139859067
"Male-headed, large",7640.645,1910.161,5123,450,0,0,8090.645,0,0
"Male-headed, large",5000.222,4000.177,5123,450,1,0.023966036,5450.222,0,0
"Male-headed, large",2836.067,1418.033,5123,450,1,0.446405036,3286.067,1,0.358565879
"Male-headed, large",11754.87,4701.947,5123,450,0,0,12204.87,0,0
"Male-headed, large",3076.314,1845.788,5123,450,1,0.399509272,3526.314,1,0.311670115
"Male-headed, large",2686.147,1880.303,5123,450,1,0.475669139,3136.147,1,0.387829982
"Male-headed, large",1967.903,1141.384,5123,450,1,0.615869022,2417.903,1,0.528029865
"Male-headed, large",8567.164,3426.865,5123,450,0,0,9017.164,0,0
"Male-headed, large",3848.475,3078.78,5123,450,1,0.248784892,4298.475,1,0.160945735
"Male-headed, large",1768.212,1768.212,5123,450,1,0.654848331,2218.212,1,0.567009174
"Male-headed, large",2624.638,1574.783,5123,450,1,0.487675581,3074.638,1,0.399836424
"Male-headed, large",10280.16,4112.064,5123,450,0,0,10730.16,0,0
"Male-headed, large",482.0502,289.2301,5123,450,1,0.905904704,932.0502,1,0.818065548
"Male-headed, large",9646.743,5788.046,5123,450,0,0,10096.743,0,0
"Male-headed, large",3978.09,2983.567,5123,450,1,0.223484287,4428.09,1,0.13564513
"Male-headed, large",3153.473,2522.778,5123,450,1,0.38444798,3603.473,1,0.296608823
"Male-headed, large",4221.831,2533.099,5123,450,1,0.1759065,4671.831,1,0.088067343
"Male-headed, large",5970.228,5970.228,5123,450,0,0,6420.228,0,0
"Male-headed, large",2063.992,928.7962,5123,450,1,0.597112629,2513.992,1,0.509273473
"Male-headed, large",1702.532,681.0127,5123,450,1,0.667668944,2152.532,1,0.579829787
"Male-headed, large",2614.011,1307.005,5123,450,1,0.489749951,3064.011,1,0.401910794
"Male-headed, large",1395.06,1395.06,5123,450,1,0.727686902,1845.06,1,0.639847745
